"No.","Time","Source","Destination","Protocol","Signal","Delta time","Information","Source manufacturer","Source model","Source type","Wlan SSID","Data rate Mbit/sec","Device name","Device type","New Column"
"1425","15:05:43.810963","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.022549","Probe Response","","","","Pince2","1","","",""
"1426","15:05:43.813575","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.002612","Probe Response","","","","Pince2","1","","",""
"1427","15:05:43.814939","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001364","Probe Response","","","","Pince2","1","","",""
"1428","15:05:43.827556","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.012617","Probe Response","","","","Pince2","1","","",""
"1429","15:05:43.828966","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.001410","Probe Response","","","","Pince2","1","","",""
"1430","15:05:43.830338","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001372","Probe Response","","","","Pince2","1","","",""
"1431","15:05:43.831764","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001426","Probe Response","","","","Pince2","1","","",""
"1432","15:05:43.838917","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-89 dBm","0.007153","Probe Response","","","","Pince2","1","","",""
"1433","15:05:43.840272","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001355","Probe Response","","","","Pince2","1","","",""
"1434","15:05:43.841566","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-95 dBm","0.001294","Probe Response","","","","Pince2","1","","",""
"1435","15:05:43.842922","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.001356","Probe Response","","","","Pince2","1","","",""
"1436","15:05:43.965088","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.122166","Probe Response","","","","Pince2","1","","",""
"1437","15:05:45.144261","18:a6:f7:c5:62:80","88:b4:a6:33:c2:1f","802.11","-91 dBm","1.179173","Probe Response","","","","Pince2","1","","",""
"1438","15:05:45.170124","18:a6:f7:c5:62:80","88:b4:a6:33:c2:1f","802.11","-91 dBm","0.025863","Probe Response","","","","Pince2","1","","",""
