"No.","Time","Source","Destination","Protocol","Signal","Delta time","Information","Source manufacturer","Source model","Source type","Wlan SSID","Data rate Mbit/sec","Device name","Device type"
"69","20:45:58.248689","04:56:04:bd:cb:fe","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.004177","Probe Request","ALLVIEW","P9_Energy_mini","Telephone","","1","P9_Energy_mini","Smartphone - dual mode"
"70","20:45:58.436372","00:26:0a:ec:cb:a0","ec:1f:72:f0:89:0b","802.11","-89 dBm","0.187683","Probe Response","","","","Internet","1","",""
"71","20:45:59.539012","da:a1:19:f5:26:7c","ff:ff:ff:ff:ff:ff","802.11","-67 dBm","1.102640","Probe Request","","","","Internet","1","",""
"72","20:45:59.539638","da:a1:19:f5:26:7c","ff:ff:ff:ff:ff:ff","802.11","-69 dBm","0.000626","Probe Request","","","","","1","",""
"73","20:46:00.135319","04:d6:aa:9a:f5:9a","ff:ff:ff:ff:ff:ff","802.11","-89 dBm","0.595681","Probe Request","","","","Internet","1","",""
"74","20:46:01.049176","00:15:fa:d8:bb:00","88:b4:a6:ea:96:4a","802.11","-71 dBm","0.913857","Probe Response","","","","Internet","1","",""
"75","20:46:01.664420","00:15:fa:d8:bb:00","8c:3a:e3:5d:71:8e","802.11","-77 dBm","0.615244","Probe Response","","","","Internet","1","",""
"76","20:46:02.246439","8c:3a:e3:5d:71:8e","ff:ff:ff:ff:ff:ff","802.11","-79 dBm","0.582019","Probe Request","","","","Internet","1","",""
"77","20:46:02.256800","8c:3a:e3:5d:71:8e","ff:ff:ff:ff:ff:ff","802.11","-79 dBm","0.010361","Probe Request","","","","Internet","1","",""
"78","20:46:03.522580","08:ee:8b:6c:0e:6f","ff:ff:ff:ff:ff:ff","802.11","-93 dBm","1.265780","Probe Request","","","","Internet","1","",""
"79","20:46:07.985326","00:15:fa:d8:bb:00","da:a1:19:96:4f:b4","802.11","-81 dBm","4.462746","Probe Response","","","","Internet","1","",""
"80","20:46:08.046172","da:a1:19:96:4f:b4","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","0.060846","Probe Request","","","","","1","",""
"81","20:46:09.289968","02:37:17:eb:36:0c","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","1.243796","Probe Request","","","","","1","",""
"82","20:46:10.156961","08:ee:8b:6c:0e:6f","ff:ff:ff:ff:ff:ff","802.11","-93 dBm","0.866993","Probe Request","","","","Internet","1","",""
"83","20:46:10.159634","da:a1:19:f8:2c:91","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.002673","Probe Request","","","","Internet","1","",""
"84","20:46:10.160278","da:a1:19:f8:2c:91","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","0.000644","Probe Request","","","","","1","",""
"85","20:46:10.492449","80:35:c1:79:d2:b8","ff:ff:ff:ff:ff:ff","802.11","-91 dBm","0.332171","Probe Request","","","","Internet","1","",""
"86","20:46:10.507861","80:35:c1:79:d2:b8","ff:ff:ff:ff:ff:ff","802.11","-87 dBm","0.015412","Probe Request","","","","Internet","1","",""
"87","20:46:10.725367","4e:46:3e:f8:e7:21","ff:ff:ff:ff:ff:ff","802.11","-97 dBm","0.217506","Probe Request","","","","","1","",""
"88","20:46:10.898812","80:35:c1:79:d2:b8","ff:ff:ff:ff:ff:ff","802.11","-91 dBm","0.173445","Probe Request","","","","Internet","1","",""
"89","20:46:10.913804","80:35:c1:79:d2:b8","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.014992","Probe Request","","","","Internet","1","",""
"90","20:46:13.059940","da:a1:19:6d:13:11","ff:ff:ff:ff:ff:ff","802.11","-95 dBm","2.146136","Probe Request","","","","","1","",""
