activity_ID,mac_address,vendor,first_Try,second_try,third_try,dist_1,dist_2,dist_3,LAT,LON,
45,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
46,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
47,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,6.8218941728741545E-9,46.52291695384231,24.598656738170092,
48,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,6.8218941728741545E-9,46.52291695384231,24.598656738170092,
49,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
50,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52291695384231,24.598656738170092,
51,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
52,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
53,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
54,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
